id,kanji,strokes,onreading,kunreading
194,懐,16,kai,"futokoro, natsu(kashii), natsu(kashimu), natsu(ku), natsu(keru)"
195,諧,16,kai,-
196,貝,7,-,kai
197,外,5,"gai, 	ge","soto, hoka, ha(zusu), hazu(reru)"
198,劾,8,gai,-
199,害,10,gai,-
200,崖,11,gai,gake
201,涯,11,gai,-
202,街,12,"gai, [kai]",machi
203,慨,13,gai,-
204,蓋,13,gai,futa
205,該,13,gai,-
206,概,14,gai,-
207,骸,16,gai,-
208,垣,9,-,kaki
209,柿,9,-,kaki
210,各,6,kaku,onoono
211,角,7,kaku,"kado, tsuno"
212,拡,8,kaku,-
213,革,9,kaku,kawa
214,格,10,"kaku, [koo]",-
215,核,10,kaku,-
216,殻,11,kaku,kara
217,郭,11,kaku,-
218,覚,12,kaku,"obo(eru), sa(masu), sa(meru)"
219,較,13,kaku,-
220,隔,13,kaku,"heda(teru), heda(taru)"
221,閣,14,kaku,-
222,確,15,kaku,"tashi(ka), tashi(kameru)"
223,獲,16,kaku,e(ru)
224,嚇,17,kaku,-
225,穫,18,kaku,-
226,学,8,gaku,mana(bu)
227,岳,8,gaku,take
228,楽,13,"gaku, 	raku","tano(shii), tano(shimu)"
229,額,18,gaku,hitai
230,顎,18,gaku,ago
231,掛,11,-,"ka(keru), ka(karu), kakari"
232,潟,15,-,kata
233,括,9,katsu,-
234,活,9,katsu,-
235,喝,11,katsu,-
236,渇,11,katsu,kawa(ku)
237,割,12,katsu,"wa(ru), wari, wa(reru), sa(ku)"
238,葛,12,katsu,kuzu
239,滑,13,"katsu, kotsu","sube(ru), name(raka)"
240,褐,13,katsu,-
241,轄,17,katsu,-
242,且,5,-,ka(tsu)
243,株,10,-,kabu
244,釜,10,‐,kama
245,鎌,18,‐,kama
246,刈,4,-,ka(ru)
247,干,3,kan,"ho(su), hi(ru)"
248,刊,5,kan,-
249,甘,5,kan,"ama(i), ama(eru), ama(yakasu)"
250,汗,6,kan,ase
251,缶,6,kan,-
252,完,7,kan,-
253,肝,7,kan,kimo
254,官,8,kan,-
255,冠,9,kan,kanmuri
256,巻,9,kan,"ma(ku), maki"
257,看,9,kan,-
258,陥,10,kan,"ochii(ru), otoshii(reru)"
259,乾,11,kan,"kawa(ku), kawa(kasu)"
260,勘,11,kan,-
261,患,11,kan,wazura(u)
262,貫,11,kan,tsuranu(ku)
263,寒,12,kan,samu(i)
264,喚,12,kan,-
265,堪,12,kan,ta(eru)
266,換,12,kan,"ka(eru), ka(waru)"
267,敢,12,kan,-
268,棺,12,kan,-
269,款,12,kan,-
270,間,12,"kan, 	ken","aida, ma"
271,閑,12,kan,-
272,勧,13,kan,susu(meru)
273,寛,13,kan,-
274,幹,13,kan,miki
275,感,13,kan,-
276,漢,13,kan,-
277,慣,14,kan,"na(reru), na(rasu)"
278,管,14,kan,kuda
